latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
-27.81434,-62.79158,324.98,1.66,1.27,2025-07-02,1253,Terra,MODIS,83,6.1NRT,280.59,52.07,D
-32.71798,-59.40228,303.83,1.01,1.01,2025-07-02,1253,Terra,MODIS,57,6.1NRT,274.99,10.07,D
-34.28274,-65.25954,320.82,1.32,1.14,2025-07-02,1913,Aqua,MODIS,80,6.1NRT,284.39,27.94,D
-36.38469,-63.60192,303.6,1.17,1.07,2025-07-02,1913,Aqua,MODIS,56,6.1NRT,284.91,9.46,D
-36.38311,-63.58914,300.81,1.16,1.07,2025-07-02,1913,Aqua,MODIS,42,6.1NRT,284.53,7.51,D
-38.4892,-65.56173,344.56,1.56,1.23,2025-07-02,1913,Aqua,MODIS,88,6.1NRT,286.56,103.11,D
-35.97161,-58.14442,307.94,1.12,1.06,2025-07-02,1913,Aqua,MODIS,65,6.1NRT,282.41,12.24,D
-35.98088,-58.14201,376.68,1.12,1.06,2025-07-02,1913,Aqua,MODIS,100,6.1NRT,287.04,169.29,D
-39.52914,-64.827,309.16,1.46,1.19,2025-07-02,1913,Aqua,MODIS,68,6.1NRT,287.16,19.17,D
-34.19051,-65.33792,319.58,1.33,1.14,2025-07-02,1913,Aqua,MODIS,79,6.1NRT,286.31,28.89,D
-34.27423,-65.27534,317.38,1.32,1.14,2025-07-02,1913,Aqua,MODIS,63,6.1NRT,285.18,22.78,D
-34.27262,-65.26121,316.98,1.32,1.14,2025-07-02,1913,Aqua,MODIS,63,6.1NRT,284.73,22.24,D
-34.28437,-65.27367,318.08,1.32,1.14,2025-07-02,1913,Aqua,MODIS,76,6.1NRT,282.97,24.03,D
-29.29369,-60.89753,303.41,1.06,1.03,2025-07-02,1915,Aqua,MODIS,56,6.1NRT,287.74,7.21,D
-28.84849,-58.48095,397.99,1.39,1.17,2025-07-02,1915,Aqua,MODIS,100,6.1NRT,296.45,395.01,D
-28.85095,-58.49477,319.29,1.39,1.17,2025-07-02,1915,Aqua,MODIS,79,6.1NRT,286.45,30.36,D
-29.22661,-60.71199,310.12,1.08,1.04,2025-07-02,1915,Aqua,MODIS,55,6.1NRT,286.75,11.1,D
-29.22834,-60.72279,317.8,1.08,1.04,2025-07-02,1915,Aqua,MODIS,78,6.1NRT,286.1,17.98,D
-29.21923,-60.72473,335.43,1.08,1.04,2025-07-02,1915,Aqua,MODIS,89,6.1NRT,288.23,39.88,D
-29.46692,-62.4525,305.12,1,1,2025-07-02,1915,Aqua,MODIS,33,6.1NRT,287.92,6.44,D
-29.45661,-62.44413,303.68,1,1,2025-07-02,1915,Aqua,MODIS,49,6.1NRT,288.1,5.94,D
-29.4581,-62.45422,311.64,1,1,2025-07-02,1915,Aqua,MODIS,72,6.1NRT,288.3,11.18,D
-28.95684,-59.39711,301.1,1.23,1.1,2025-07-02,1915,Aqua,MODIS,39,6.1NRT,285.43,7.61,D
-29.3329,-61.74395,304.2,1.01,1.01,2025-07-02,1915,Aqua,MODIS,58,6.1NRT,287.93,6.29,D
-29.33217,-61.85967,300.32,1.01,1.01,2025-07-02,1915,Aqua,MODIS,27,6.1NRT,288.69,3.81,D
-29.33371,-61.86984,325.55,1.01,1,2025-07-02,1915,Aqua,MODIS,84,6.1NRT,289.25,24.04,D
